eBird_count,eBird_code,State,County,PerCapitaIncome,Population,Region,Division,logcheck,logGDP,logpop,RDistance,RDistance_Deviation
2809,US-IL-001,Illinois,Adams,24217,67152,Midwest,East North Central,7.94058382710424,10.0948101448605,11.1147139855734,0.124105651531682,0.697080269249602
2145,US-IL-003,Illinois,Alexander,13619,7980,Midwest,East North Central,7.67089483136212,9.51922115556896,8.98469369044386,-0.9261137576234,-1.72720422137204
1196,US-IL-005,Illinois,Bond,23195,17665,Midwest,East North Central,7.08673793451058,10.0516920171858,9.77934055979325,0.06965830158035,0.571396183722505
2751,US-IL-007,Illinois,Boone,25888,54068,Midwest,East North Central,7.91971976092458,10.1615348198582,10.8979977926037,0.128334635006002,0.70684228560401
643,US-IL-009,Illinois,Brown,20555,6904,Midwest,East North Central,6.46614472423762,9.93085949933198,8.83985623276326,-0.039127808799515,0.320278676380746
2860,US-IL-011,Illinois,Bureau,26705,34594,Midwest,East North Central,7.9585769038139,10.1926060927739,10.4514355356039,0.002448817187312,0.416252497349577
1340,US-IL-013,Illinois,Calhoun,26924,5062,Midwest,East North Central,7.20042489294496,10.2007733611306,8.52951694110507,-0.252699567567902,-0.172721831802142
3473,US-IL-015,Illinois,Carroll,27118,15199,Midwest,East North Central,8.15277405274408,10.2079529930223,9.62898491519646,-0.333820389022055,-0.359977892396191
849,US-IL-017,Illinois,Cass,22257,13530,Midwest,East North Central,6.74405918631135,10.0104118448576,9.51266472116483,0.110075481772314,0.664693586379411
20233,US-IL-019,Illinois,Champaign,25713,202428,Midwest,East North Central,9.9150702137792,10.154751979567,12.2181395467483,-0.359515630583346,-0.419291760581061
991,US-IL-021,Illinois,Christian,23915,34651,Midwest,East North Central,6.89871453432999,10.0822611561144,10.4530818642305,0.386189330130313,1.30206375339878
685,US-IL-023,Illinois,Clark,24296,16284,Midwest,East North Central,6.52941883826223,10.0980670067256,9.69793830962287,0.344062288861682,1.20481937580202
124,US-IL-025,Illinois,Clay,22279,13744,Midwest,East North Central,4.82028156560504,10.0113998097305,9.52835764422404,1.01211031674473,2.74691473118133
9288,US-IL-027,Illinois,Clinton,27802,37891,Midwest,East North Central,9.13647852337773,10.232863239537,10.5424688958523,-0.467506337785802,-0.668573191032627
9625,US-IL-029,Illinois,Coles,21970,53732,Midwest,East North Central,9.17211915915599,9.99743316537866,10.8917640061829,-0.582509775543643,-0.934042528291213
266739,US-IL-031,Illinois,Cook,30183,5212372,Midwest,East North Central,12.4940259312003,10.3150341309602,15.4665455884328,-0.335968500320786,-0.364936506625033
167,US-IL-033,Illinois,Crawford,25214,19707,Midwest,East North Central,5.11799381241676,10.1351546747912,9.88872918156058,1.08559071154806,2.91653393640033
504,US-IL-035,Illinois,Cumberland,22952,11015,Midwest,East North Central,6.22257626807137,10.0411603576612,9.30701325923644,0.317977491176674,1.14460627183773
5383,US-IL-037,Illinois,DeKalb,23696,104820,Midwest,East North Central,8.59100111856096,10.0730615365076,11.5599998723562,-0.051577383596129,0.291540575721811
2853,US-IL-039,Illinois,De Witt,26704,16511,Midwest,East North Central,7.9561263512135,10.1925686459016,9.71178210443183,-0.229410005168887,-0.118961137203363
1293,US-IL-041,Illinois,Douglas,23732,19902,Midwest,East North Central,7.16472037877186,10.0745796273785,9.89857550817511,0.090626837813955,0.619799114328277
96845,US-IL-043,Illinois,DuPage,38570,922803,Midwest,East North Central,11.4808670412763,10.5602300512023,13.7351710562517,-0.20190583457085,-0.055471609560871
440,US-IL-045,Illinois,Edgar,23368,18339,Midwest,East North Central,6.08677472691231,10.0591228440676,9.81678521869683,0.550011338587918,1.68022392722928
482,US-IL-047,Illinois,Edwards,20898,6695,Midwest,East North Central,6.1779441140506,9.94740873959406,8.80911625812527,0.102704639901969,0.647679029732168
822,US-IL-049,Illinois,Effingham,27051,34274,Midwest,East North Central,6.71174039505618,10.205479252168,10.4421423282208,0.577693294725848,1.74412384790323
1152,US-IL-051,Illinois,Fayette,21523,22088,Midwest,East North Central,7.04925484125584,9.97687740976418,10.00278975361,0.08891120610952,0.615838818702025
789,US-IL-053,Illinois,Ford,25448,13991,Midwest,East North Central,6.67076632084587,10.144392433429,9.54616954473329,0.273085248203448,1.04097881319386
1663,US-IL-055,Illinois,Franklin,20394,39470,Midwest,East North Central,7.41637847919293,9.92299601892417,10.5832961686569,0.048089062594038,0.521606614901742
5217,US-IL-057,Illinois,Fulton,22318,36829,Midwest,East North Central,8.55967780302239,10.0131488067456,10.5140408572921,-0.410844318046418,-0.537776850321308
258,US-IL-059,Illinois,Gallatin,23862,5516,Midwest,East North Central,5.55295958492162,10.0800425144357,8.61540823891319,0.457041587536267,1.46561627133688
308,US-IL-061,Illinois,Greene,22307,13778,Midwest,East North Central,5.73009978297357,10.0126558095368,9.53082839615314,0.590046689134055,1.77263992959938
4754,US-IL-063,Illinois,Grundy,28725,50064,Midwest,East North Central,8.46674164792014,10.265523102717,10.8210574659087,-0.048062065500979,0.299655195451158
241,US-IL-065,Illinois,Hamilton,21960,8413,Midwest,East North Central,5.48479693349066,9.99697789562347,9.03753340755081,0.544650868530026,1.66785003248833
854,US-IL-067,Illinois,Hancock,23714,18949,Midwest,East North Central,6.74993119378857,10.073820870018,9.84950643866961,0.266419603823035,1.02559210623475
328,US-IL-069,Illinois,Hardin,22366,4273,Midwest,East North Central,5.79301360838414,10.0152972275881,8.36007143564403,0.205444592928292,0.884839829197199
685,US-IL-071,Illinois,Henderson,25902,7186,Midwest,East North Central,6.52941883826223,10.1620754647835,8.87988996767346,0.147022115797467,0.749979719036121
